"english","iso3","latLong","bbc-region-code"
"Cameroon","CMR","5.73069217904271, 12.736906225792","region_af"
"Democratic Republic of Congo","COD","-2.89844385346431, 23.6450153881604","region_af"
"Congo-Brazzaville","COG","-0.844480014454018, 15.2183553813699","region_af"
"Colombia","COL","3.93511577186441, -73.0837859703117","region_am_lac"
"Costa Rica","CRI","10.039108686447, -84.1935691288356","region_am_lac"
"Bermuda","BMU","32.4841826994569, -64.7634918561509","region_am_lac"
"Bolivia","BOL","-16.8114343623375, -64.6849089084658","region_am_lac"
"Svalbard and Jan Mayen","SJM","78.9384399571543, 18.4796289581426","region_eu"
"Brazil","BRA","-10.8422585477859, -53.0940665667079","region_am_lac"
"Botswana","BWA","-22.3195251845441, 23.7991052103268","region_af"
"Central African Republic","CAF","6.6099665884265, 20.4647219916142","region_af"
"Canada","CAN","58.110181, -106.513928","region_am_na"
"Switzerland","CHE","46.990781196534, 8.21533827792566","region_eu"
"Chile","CHL","-26.768077, -69.852001","region_am_lac"
"China","CHN","34.705752, 103.497519","region_as"
"Cuba","CUB","21.7572347589792, -79.0348766414006","region_am_lac"
"Dominica","DMA","15.5354553909707, -61.3569172496047","region_am_lac"
"Algeria","DZA","28.3038451333084, 2.65320890269015","region_af"
"Ecuador","ECU","-1.43581030888988, -78.7722793390137","region_am_lac"
"Egypt","EGY","26.6447190253715, 29.8613871598532","region_me"
"Eritrea","ERI","15.4558246542022, 38.853085994576","region_af"
"Spain","ESP","40.4151332847689, -3.65310050858009","region_eu"
"Estonia","EST","58.8414623675946, 25.5358022335026","region_eu"
"Ethiopia","ETH","8.67938794718998, 39.600675871397","region_af"
"Finland","FIN","64.6425621312004, 26.2705955361949","region_eu"
"Fiji","FJI","-17.5578300415816, 163.407807524531","region_oc"
"Falkland Islands","FLK","-51.9201442899715, -59.3760899454771","region_am_lac"
"France","FRA","46.74537095393, 2.54653272771664","region_eu"
"Czech Republic","CZE","49.9219236125423, 15.3141426996005","region_eu"
"Germany","DEU","51.2929813021218, 10.3813841507624","region_eu"
"Aruba","ABW","12.5986039699552, -69.9742005404293","region_am_lac"
"Ghana","GHA","8.00658948521587, -1.21652664741259","region_af"
"Greece","GRC","39.434813, 21.952680","region_eu"
"Liechtenstein","LIE","47.3299292363047, 9.54090042401732","region_eu"
"Guinea-Bissau","GNB","12.1055675739826, -14.977518077955","region_af"
"Bouvet Island","BVT","-54.6010485352196, 3.41314203701057","region_am_lac"
